"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 07 12:24:03 GMT 2021","Wed Apr 07 12:24:03 GMT 2021","151","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"passed","Wed Apr 07 12:24:09 GMT 2021","Wed Apr 07 12:24:09 GMT 2021","786","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"passed","Wed Apr 07 12:24:03 GMT 2021","Wed Apr 07 12:24:08 GMT 2021","4522","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"passed","Wed Apr 07 12:24:08 GMT 2021","Wed Apr 07 12:24:09 GMT 2021","808","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"failed","Wed Apr 07 12:24:02 GMT 2021","Wed Apr 07 12:24:03 GMT 2021","1244","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"passed","Wed Apr 07 12:24:03 GMT 2021","Wed Apr 07 12:24:03 GMT 2021","148","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
