"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 08 09:57:31 GMT 2021","Thu Apr 08 09:57:33 GMT 2021","1655","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"passed","Thu Apr 08 09:57:38 GMT 2021","Thu Apr 08 09:57:39 GMT 2021","980","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"passed","Thu Apr 08 09:57:33 GMT 2021","Thu Apr 08 09:57:33 GMT 2021","185","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"passed","Thu Apr 08 09:57:33 GMT 2021","Thu Apr 08 09:57:33 GMT 2021","177","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"passed","Thu Apr 08 09:57:39 GMT 2021","Thu Apr 08 09:57:40 GMT 2021","927","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"passed","Thu Apr 08 09:57:33 GMT 2021","Thu Apr 08 09:57:38 GMT 2021","4532","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
