"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 08 09:54:23 GMT 2021","Thu Apr 08 09:54:24 GMT 2021","1068","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"passed","Thu Apr 08 09:54:19 GMT 2021","Thu Apr 08 09:54:19 GMT 2021","205","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"passed","Thu Apr 08 09:54:24 GMT 2021","Thu Apr 08 09:54:25 GMT 2021","1047","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"failed","Thu Apr 08 09:54:17 GMT 2021","Thu Apr 08 09:54:19 GMT 2021","2066","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"passed","Thu Apr 08 09:54:19 GMT 2021","Thu Apr 08 09:54:19 GMT 2021","201","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"passed","Thu Apr 08 09:54:19 GMT 2021","Thu Apr 08 09:54:23 GMT 2021","4094","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
