"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 08 10:18:52 GMT 2021","Thu Apr 08 10:18:53 GMT 2021","1422","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"passed","Thu Apr 08 10:18:53 GMT 2021","Thu Apr 08 10:18:54 GMT 2021","1017","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"failed","Thu Apr 08 10:18:42 GMT 2021","Thu Apr 08 10:18:44 GMT 2021","2168","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"passed","Thu Apr 08 10:18:46 GMT 2021","Thu Apr 08 10:18:51 GMT 2021","5591","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"passed","Thu Apr 08 10:18:44 GMT 2021","Thu Apr 08 10:18:45 GMT 2021","947","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"passed","Thu Apr 08 10:18:45 GMT 2021","Thu Apr 08 10:18:46 GMT 2021","892","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
