"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 07 12:11:40 GMT 2021","Wed Apr 07 12:11:41 GMT 2021","200","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"failed","Wed Apr 07 12:11:39 GMT 2021","Wed Apr 07 12:11:40 GMT 2021","1460","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"passed","Wed Apr 07 12:11:41 GMT 2021","Wed Apr 07 12:11:41 GMT 2021","201","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"passed","Wed Apr 07 12:11:41 GMT 2021","Wed Apr 07 12:11:46 GMT 2021","5130","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"passed","Wed Apr 07 12:11:46 GMT 2021","Wed Apr 07 12:11:47 GMT 2021","1107","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"passed","Wed Apr 07 12:11:47 GMT 2021","Wed Apr 07 12:11:48 GMT 2021","1088","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
