"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 08 09:50:38 GMT 2021","Thu Apr 08 09:50:42 GMT 2021","4672","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"passed","Thu Apr 08 09:50:44 GMT 2021","Thu Apr 08 09:50:45 GMT 2021","1199","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"failed","Thu Apr 08 09:50:35 GMT 2021","Thu Apr 08 09:50:36 GMT 2021","1669","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"passed","Thu Apr 08 09:50:36 GMT 2021","Thu Apr 08 09:50:37 GMT 2021","591","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"passed","Thu Apr 08 09:50:37 GMT 2021","Thu Apr 08 09:50:38 GMT 2021","814","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"passed","Thu Apr 08 09:50:43 GMT 2021","Thu Apr 08 09:50:44 GMT 2021","1555","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
