"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 07 12:27:39 GMT 2021","Wed Apr 07 12:27:43 GMT 2021","4477","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"passed","Wed Apr 07 12:27:38 GMT 2021","Wed Apr 07 12:27:39 GMT 2021","178","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"passed","Wed Apr 07 12:27:43 GMT 2021","Wed Apr 07 12:27:44 GMT 2021","957","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"failed","Wed Apr 07 12:27:36 GMT 2021","Wed Apr 07 12:27:38 GMT 2021","1746","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
"passed","Wed Apr 07 12:27:44 GMT 2021","Wed Apr 07 12:27:45 GMT 2021","962","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria1","searchCarsByCriteria1",""
"passed","Wed Apr 07 12:27:38 GMT 2021","Wed Apr 07 12:27:38 GMT 2021","185","Surefire suite","Surefire test","BeTest","BeTest","searchCarsByCriteria","searchCarsByCriteria",""
